case_id,t_model,t_cap,Longitude,Latitude
3098441,GE2.82-127,2820,-102.97393,32.46151
3094213,GE2.82-127,2820,-102.973289,39.110073
3095682,GE2.82-127,2820,-102.973289,39.050732
3050913,GE1.79-100,1790,-102.972954,40.994923
3044964,GE1.5-77,1500,-102.972893,40.981194
3095455,GE2.82-127,2820,-102.972794,39.079182
3131507,GE2.82-127,2820,-102.97271,39.189926
3097924,GE2.82-127,2820,-102.972214,32.370579
3132347,GE2.82-127,2820,-102.97168,39.252941
3073766,V100-2.0,2000,-102.971558,48.507477
3009712,,0,-102.971489,44.112095
3094124,GE2.82-127,2820,-102.970894,39.169353
3053755,SWT-2.3-108,2300,-102.970741,34.826004
3114458,GE2.5-116,2500,-102.970291,40.623592
3053360,V100-2.0,2000,-102.970245,48.571011
3053338,V100-2.0,2000,-102.970131,48.519138
3113855,GE2.82-127,2820,-102.969597,40.654884
3098524,GE2.82-127,2820,-102.969505,32.409576
3053368,V100-2.0,2000,-102.969284,48.471828
3044939,GE1.5-77,1500,-102.968887,40.982292
3053382,V100-2.0,2000,-102.968552,48.545769
3053339,V100-2.0,2000,-102.968407,48.52206
3093791,GE2.82-127,2820,-102.968292,39.112705
3050919,GE1.79-100,1790,-102.967934,40.996132
3098227,GE2.82-127,2820,-102.967926,32.458847
3094139,GE2.82-127,2820,-102.96759,39.080452
3093649,GE2.82-127,2820,-102.967491,39.049503
3053345,V100-2.0,2000,-102.967133,48.573471
3053743,SWT-2.3-108,2300,-102.966927,34.812191
3053348,V100-2.0,2000,-102.966797,48.524891
3094575,GE2.3-116,2300,-102.966591,39.148262
3113822,GE2.82-127,2820,-102.966263,40.61552
3131833,GE2.82-127,2820,-102.96624,39.181473
3053346,V100-2.0,2000,-102.965889,48.577572
3053375,V100-2.0,2000,-102.965843,48.581703
3053746,SWT-2.3-108,2300,-102.965591,34.824177
3098078,GE2.82-127,2820,-102.965431,32.370708
3113753,GE2.82-127,2820,-102.96524,40.659985
3053730,SWT-2.3-108,2300,-102.965103,34.774277
3044965,GE1.5-77,1500,-102.964493,40.982994
3061229,V100-2.0,2000,-102.964432,48.533783
3061035,V100-2.0,2000,-102.964226,48.527386
3098448,GE2.82-127,2820,-102.96315,32.406975
3047636,GE1.79-100,1790,-102.963127,40.995125
3131504,GE2.82-127,2820,-102.962929,39.190849
3094841,GE2.3-116,2300,-102.962891,39.113335
3053744,SWT-2.3-108,2300,-102.962631,34.80933
3053333,V100-2.0,2000,-102.96199,48.470238
3053334,V100-2.0,2000,-102.961441,48.47332
3053374,V100-2.0,2000,-102.961403,48.582424
